"Kode Kegiatan","Satuan"
"621110209","KG"
"621110208","KG"
"621110207","KG"
"621110206","KG"
"621110401","HA"
"621121701","HA"
"621110601","HA"
"621111101","HA"
"621120101","HA"
"621120102","HA"
"621120401","HA"
"621120501","HA"
"621120601","HA"
"621120701","HA"
"621120801","HA"
"621121001","HA"
"621121101","HA"
"621121201","HA"
"621121401","HA"
"621121501","HA"
"621130201","HA"
"621130202","HA"
"621130203","HA"
"621130301","HA"
"621140101","HA"
"621140201","HA"
"621150201","PKK"
"621150101","PKK"
"621140206","PKK"
"621110204","KG"
"621110203","KG"
"621110202","KG"
"621100601","HA"
"621110201","KG"
"621110102","KG"
"621110101","KG"
"621101301","UNIT"
"621060101","LOT"
"611020310","KG"
"611020309","KG"
"611020308","KG"
"611020307","KG"
"611020306","KG"
"611020305","KG"
"611020304","KG"
"611020303","KG"
"611020302","KG"
"611020301","KG"
"611020205","KG"
"611020204","KG"
"611020203","KG"
"611020202","KG"
"611020101","KG"
"611010109","KG"
"611010105","LOT"
"611010104","KG"
"611010103","KG"
"611020201","KG"
"128027001","MTR"
"128026902","MTR"
"128026901","MTR"
"128026801","MTR"
"128026701","PKK"
"128026601","PKK"
"128026502","PKK"
"128026401","PKK"
"128026301","PKK"
"128026201","PKK"
"128026101","PKK"
"128026001","PKK"
"128025901","PKK"
"128025801","PKK"
"128025701","PKK"
"128025601","PKK"
"128025501","PKK"
"621100201","HA"
"621100202","HA"
"621100203","HA"
"621100204","HA"
"621100301","HA"
"621100401","HA"
"621100501","HA"
"621100701","HA"
"621100702","HA"
"621100703","HA"
"621100801","HA"
"621100901","HA"
"621101001","HA"
"621101101","HA"
"621101202","HA"
"128022601","MTR"
"128022501","PKK"
"128022401","PKK"
"128022301","BBT"
"128022201","BBT"
"128022101","PKK"
"128022001","BBT"
"128021901","BBT"
"128021801","BBT"
"128021701","BBT"
"128021501","BBT"
"128021401","BBT"
"128021301","BBT"
"128021101","BBT"
"128021001","BBT"
"128020901","PKK"
"128020801","BBT"
"128020601","BBT"
"128020501","BBT"
"128020401","BBT"
"128020301","BBT"
"128020201","UNIT"
"128020101","BBT"
"128012001","LOT"
"128011901","LOT"
"128011801","PKK"
"128025401","PKK"
"128025301","PKK"
"128025201","PKK"
"128010301","HA"
"126750701","HA"
"126750601","HA"
"126720901","MTR"
"126750501","HA"
"126750401","HA"
"126750301","HA"
"126750201","HA"
"126750101","HA"
"128011701","BBT"
"126720501","UNIT"
"126720401","MTR"
"126720301","MTR"
"126720201","MTR"
"126720101","MTR"
"126690901","UNIT"
"126690801","UNIT"
"126690701","UNIT"
"126720801","UNIT"
"126720701","UNIT"
"126720601","UNIT"
"128010201","UNIT"
"128010302","MTR"
"128010401","BEDENG"
"128010501","BEDENG"
"128010601","KG"
"128010701","UNIT"
"128010801","BEDENG"
"128010901","PKK"
"128011001","UNIT"
"128011101","MTR"
"128011201","BBT"
"128011301","BBT"
"128011401","BBT"
"128011501","BBT"
"128011601","BBT"
"128025101","PKK"
"128023101","UNIT"
"128023001","BEDENG"
"128022901","PKK"
"128022801","MTR"
"126570901","PKK"
"126690601","UNIT"
"126690501","UNIT"
"126690303","MTR"
"126690302","MTR"
"126690301","MTR"
"126690201","MTR"
"126690101","UNIT"
"126660201","PKK"
"126660101","PKK"
"126600101","PKK"
"126571801","TTK"
"126571601","MTR"
"126571301","PKK"
"126571201","PKK"
"126570301","UNIT"
"126570201","UNIT"
"126541201","UNIT"
"126541101","KG"
"126541001","KG"
"126540702","PKK"
"126540601","KG"
"126540501","KG"
"126540402","PKK"
"126540401","PKK"
"126540301","KG"
"126540209","KG"
"126540208","KG"
"126540207","KG"
"126540206","KG"
"126540205","KG"
"126540204","KG"
"126540203","KG"
"126540202","KG"
"126540201","KG"
"126540101","KG"
"126511701","UNIT"
"126511601","UNIT"
"126690401","HA"
"126511201","HA"
"126511301","HA"
"126511401","HA"
"126511402","HA"
"126511501","HA"
"126540701","HA"
"126540801","HA"
"126540901","HA"
"126540902","HA"
"126570101","HA"
"126570401","HA"
"126570501","HA"
"126570601","HA"
"126570701","HA"
"126570801","HA"
"126571001","HA"
"126571101","HA"
"126571401","HA"
"126571501","HA"
"126571701","HA"
"126600201","HA"
"126630101","HA"
"126630201","HA"
"126630301","HA"
"126371401","MTR"
"126371502","MTR"
"126430101","PKK"
"126430201","PKK"
"126430301","PKK"
"126430401","PKK"
"126430501","PKK"
"126430601","PKK"
"126430701","PKK"
"126510401","HA"
"126510201","HA"
"126400102","HA"
"126400201","HA"
"126400101","HA"
"126311501","HA"
"126370702","MTR"
"126370703","MTR"
"126370704","MTR"
"126370705","MTR"
"126510501","HA"
"126370706","MTR"
"126370707","MTR"
"126370708","MTR"
"126370801","MTR"
"126370901","UNIT"
"126371001","UNIT"
"126371101","UNIT"
"126371201","UNIT"
"126371301","UNIT"
"126371501","MTR"
"126311401","PKK"
"126311601","MTR"
"126311602","MTR"
"126311603","MTR"
"126311604","MTR"
"126311605","MTR"
"126311606","MTR"
"126311607","MTR"
"126311608","PKK"
"126311701","PKK"
"126340101","MTR"
"126311301","MTR"
"126340201","MTR"
"126340301","MTR"
"126340401","MTR"
"126340501","MTR"
"126340601","MTR"
"126340701","MTR"
"126370101","MTR"
"126370201","MTR"
"126370301","MTR"
"126370401","UNIT"
"126370501","UNIT"
"126370601","UNIT"
"126510502","HA"
"126510601","HA"
"126510701","HA"
"126510801","HA"
"126510901","HA"
"126510902","HA"
"126511001","HA"
"126511101","HA"
"126370701","MTR"
"126311201","HA"
"126311101","HA"
"126311001","HA"
"126310901","HA"
"126310801","HA"
"126310301","HA"
"126310201","HA"
"126310101","HA"
"126310702","HA"
"126310703","HA"
"126310701","HA"
"126310602","HA"
"126310601","HA"
"126310501","HA"
"126310401","HA"
