"Kode Kegiatan","Satuan"
"126690101","UNIT"
"126660201","PKK"
"126660101","PKK"
"126600101","PKK"
"126571801","TTK"
"126571601","MTR"
"126571301","PKK"
"126571201","PKK"
"126570301","UNIT"
"126570201","UNIT"
"126541201","UNIT"
"126541101","KG"
"126541001","KG"
"126540702","PKK"
"126540601","KG"
"126540501","KG"
"126540402","PKK"
"126540401","PKK"
"126540301","KG"
"126540209","KG"
"126540208","KG"
"126540207","KG"
"126540206","KG"
"126540205","KG"
"126540204","KG"
"126540203","KG"
"126540202","KG"
"126540201","KG"
"126540101","KG"
"126511701","UNIT"
"126511601","UNIT"
"126690401","HA"
"126511201","HA"
"126511301","HA"
"126511401","HA"
"126511402","HA"
"126511501","HA"
"126540701","HA"
"126540801","HA"
"126540901","HA"
"126540902","HA"
"126570101","HA"
"126570401","HA"
"126570501","HA"
"126570601","HA"
"126570701","HA"
"126570801","HA"
"126571001","HA"
"126571101","HA"
"126571401","HA"
"126571501","HA"
"126571701","HA"
"126600201","HA"
"126630101","HA"
"126630201","HA"
"126630301","HA"
"126371401","MTR"
"126371502","MTR"
"126430101","PKK"
"126430201","PKK"
"126430301","PKK"
"126430401","PKK"
"126430501","PKK"
"126430601","PKK"
"126430701","PKK"
"126510401","HA"
"126510201","HA"
"126400102","HA"
"126400201","HA"
"126400101","HA"
"126311501","HA"
"126370702","MTR"
"126370703","MTR"
"126370704","MTR"
"126370705","MTR"
"126510501","HA"
"126370706","MTR"
"126370707","MTR"
"126370708","MTR"
"126370801","MTR"
"126370901","UNIT"
"126371001","UNIT"
"126371101","UNIT"
"126371201","UNIT"
"126371301","UNIT"
"126371501","MTR"
"126311401","PKK"
"126311601","MTR"
"126311602","MTR"
"126311603","MTR"
"126311604","MTR"
"126311605","MTR"
"126311606","MTR"
"126311607","MTR"
"126311608","PKK"
"126311701","PKK"
"126340101","MTR"
"126311301","MTR"
"126340201","MTR"
"126340301","MTR"
"126340401","MTR"
"126340501","MTR"
"126340601","MTR"
"126340701","MTR"
"126370101","MTR"
"126370201","MTR"
"126370301","MTR"
"126370401","UNIT"
"126370501","UNIT"
"126370601","UNIT"
"126510502","HA"
"126510601","HA"
"126510701","HA"
"126510801","HA"
"126510901","HA"
"126510902","HA"
"126511001","HA"
"126511101","HA"
"126370701","MTR"
"126311201","HA"
"126311101","HA"
"126311001","HA"
"126310901","HA"
"126310801","HA"
"126310301","HA"
"126310201","HA"
"126310101","HA"
"126310702","HA"
"126310703","HA"
"126310701","HA"
"126310602","HA"
"126310601","HA"
"126310501","HA"
"126310401","HA"
